# Diamond_cryo_no_bc_open1_6vx6h at temperature 289.162 K.
# File generated by IDL:
# Instrument: NOMAD
#TOF                  Is/Iv                   Error
  1848.587851203        0.804554284           0.010410061                     
  1850.322120248        0.810381591           0.010388405                     
  1852.058140807        0.813814461           0.010411195                     
  1853.795912882        0.831330538           0.010428744                     
  1855.535301739        0.857850611           0.010442761                     
  1857.276172647        0.878813863           0.010471046                     
  1859.018795069        0.882174134           0.010502148                     
  1860.763034275        0.906596065           0.010551511                     
  1862.508755531        0.944998264           0.010603439                     
  1864.256228303        0.968095362           0.010628795                     
  1866.005452589        0.970567942           0.010657194                     
  1867.756158925        0.985559225           0.010687960                     
  1869.508616777        0.994272530           0.010706148                     
  1871.262691411        0.980895996           0.010664062                     
  1873.018517561        0.969226658           0.010667795                     
  1874.775556297        0.960484147           0.010640205                     
  1876.534885475        0.934995592           0.010590823                     
  1878.295292509        0.915810287           0.010516784                     
  1880.057585790        0.902799547           0.010463843                     
  1881.821630585        0.874209642           0.010445023                     
  1883.587292163        0.865747154           0.010399740                     
  1885.354570524        0.869855523           0.010394873                     
  1887.123330936        0.863265097           0.010374814                     
  1888.894112326        0.865103006           0.010393237                     
  1890.666106303        0.866066158           0.010372842                     
  1892.440121259        0.846407771           0.010336595                     
  1894.215752998        0.845737755           0.010327277                     
  1895.993001519        0.850662649           0.010331009                     
  1897.771866824        0.838324785           0.010299047                     
  1899.552214179        0.822381675           0.010257132                     
  1901.334717245        0.816278577           0.010267469                     
  1903.118432898        0.803232253           0.010228710                     
  1904.904304261        0.800212741           0.010222083                     
  1906.691388212        0.792976797           0.010176166                     
  1908.480358409        0.796091735           0.010164909                     
  1910.271080121        0.801692367           0.010202958                     
  1912.063149151        0.816487908           0.010189832                     
  1913.857373893        0.827677310           0.010204670                     
  1915.652811221        0.798562229           0.010244406                     
  1917.450404260        0.818028450           0.010223954                     
  1919.249209886        0.834797263           0.010201057                     
  1921.050036490        0.816721320           0.010233331                     
  1922.852479878        0.812914371           0.010221252                     
  1924.656540048        0.826922596           0.010209953                     
  1926.462486464        0.825924158           0.010168116                     
  1928.269780200        0.822822809           0.010189126                     
  1930.079229646        0.819473505           0.010179015                     
  1931.889891680        0.811366975           0.010163315                     
  1933.702439960        0.806082964           0.010166369                     
  1935.516739754        0.820015311           0.010171942                     
  1937.332791064        0.812561035           0.010136025                     
  1939.150459156        0.827733696           0.010125091                     
